Date,Open Price,High Price,Low Price,Close_Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-May-20,1407.3,1445.85,1393.65,1434.65,1426.607357,907872,31809,1295176874,110171,12.14,52.2,27.35
19-May-20,1461.9,1461.9,1404,1408.15,1436.568991,714335,29316,1026191510,139032,19.46,57.9,-53.75
18-May-20,1471.8,1482,1428,1440.65,1452.458142,1308019,44307,1899842847,158182,12.09,54,-31.15
15-May-20,1445.7,1467,1415.55,1458.9,1441.761957,953907,37182,1375306823,139312,14.6,51.45,13.2
14-May-20,1472,1496.4,1430.05,1435.45,1456.997867,795955,36568,1159704737,130235,16.36,66.35,-36.55
13-May-20,1534.75,1534.75,1454,1496.4,1479.473717,1489557,51128,2203760432,138373,9.29,80.75,-38.35
12-May-20,1578,1578,1455,1480.25,1539.20122,2865647,58351,4410807358,1600772,55.86,123,-97.75
11-May-20,1582,1614.85,1572,1576.75,1592.811649,1066351,37832,1698496295,236991,22.22,42.85,-5.25
08-May-20,1550,1579.7,1537.6,1561.8,1560.210697,1432366,48435,2234792755,292323,20.41,42.1,11.8
07-May-20,1450,1513.7,1444.9,1507.25,1484.252369,991823,37440,1472115637,215787,21.76,68.8,57.25
06-May-20,1462,1484,1446,1461.65,1465.976029,690133,29037,1011718435,101372,14.69,38,-0.35
05-May-20,1451.05,1478.8,1447,1461,1463.572988,656560,27479,960923481,118929,18.11,31.8,9.95
04-May-20,1442,1464.9,1419.75,1435.4,1443.430779,978857,36490,1412912322,234783,23.99,45.15,-6.6
30-Apr-20,1454,1494.5,1440,1467.05,1469.701518,1277127,47637,1876995490,199937,15.66,54.5,13.05
29-Apr-20,1446,1453.05,1420.5,1426.2,1436.199799,642967,25581,923429076,119218,18.54,32.55,-19.8
28-Apr-20,1451.4,1454.75,1391.95,1428.1,1421.149887,1301548,49487,1849694793,159436,12.25,62.8,-23.3
27-Apr-20,1440,1474.55,1422.95,1430.3,1449.141427,1152767,42860,1670522415,204866,17.77,51.6,-9.7
24-Apr-20,1354.9,1495,1348,1417.35,1426.941202,2452068,84839,3498956860,298577,12.18,147,62.45
23-Apr-20,1369.7,1385.85,1354.25,1371.5,1370.967367,1465213,36634,2008759209,169508,11.57,31.6,1.8
22-Apr-20,1320,1384.7,1300,1363.35,1341.80002,2629550,88016,3528330242,430128,16.36,84.7,43.35
21-Apr-20,1208.1,1252.55,1164.45,1236.05,1202.750346,1147259,46201,1379866159,160413,13.98,88.1,27.95
20-Apr-20,1226.5,1257,1202.3,1244.45,1228.703573,796389,22491,978526010,87130,10.94,54.7,17.95
17-Apr-20,1220,1229.9,1192.7,1225.05,1209.045865,559314,25002,676236279,179303,32.06,37.2,5.05
16-Apr-20,1146.6,1187.35,1146.6,1168.7,1173.745875,592064,30132,694932678,104523,17.65,40.75,22.1
15-Apr-20,1201,1235.95,1142.7,1150.05,1181.958679,834155,32228,985936742,243999,29.25,93.25,-50.95
13-Apr-20,1208,1215,1180,1189.25,1192.002911,445919,20095,531536746,92980,20.85,35,-18.75
09-Apr-20,1211.2,1232.75,1193.25,1219.2,1214.735737,624780,26394,758942594,161511,25.85,39.5,8
08-Apr-20,1175,1228.95,1161.85,1192.15,1197.430552,1072376,36284,1284095786,153505,14.31,67.1,17.15
07-Apr-20,1106,1213.7,1101,1206.4,1163.138041,1246979,48086,1450408711,337352,27.05,112.7,100.4
03-Apr-20,1130,1131.6,1057,1078.2,1074.320205,1473406,28689,1582909836,993332,67.42,74.6,-51.8
01-Apr-20,1116.2,1124.95,1044.75,1080.65,1070.04015,825411,32355,883222910,164281,19.9,80.2,-35.55
